Year,emissions,half
1751,3,1.5
1752,3,1.5
1753,3,1.5
1754,3,1.5
1755,3,1.5
1756,3,1.5
1757,3,1.5
1758,3,1.5
1759,3,1.5
1760,3,1.5
1761,3,1.5
1762,3,1.5
1763,3,1.5
1764,3,1.5
1765,3,1.5
1766,3,1.5
1767,3,1.5
1768,3,1.5
1769,3,1.5
1770,3,1.5
1771,4,2
1772,4,2
1773,4,2
1774,4,2
1775,4,2
1776,4,2
1777,4,2
1778,4,2
1779,4,2
1780,4,2
1781,5,2.5
1782,5,2.5
1783,5,2.5
1784,5,2.5
1785,5,2.5
1786,5,2.5
1787,5,2.5
1788,5,2.5
1789,5,2.5
1790,5,2.5
1791,6,3
1792,6,3
1793,6,3
1794,6,3
1795,6,3
1796,6,3
1797,7,3.5
1798,7,3.5
1799,7,3.5
1800,8,4
1801,8,4
1802,10,5
1803,9,4.5
1804,9,4.5
1805,9,4.5
1806,10,5
1807,10,5
1808,10,5
1809,10,5
1810,10,5
1811,11,5.5
1812,11,5.5
1813,11,5.5
1814,11,5.5
1815,12,6
1816,13,6.5
1817,14,7
1818,14,7
1819,14,7
1820,14,7
1821,14,7
1822,15,7.5
1823,16,8
1824,16,8
1825,17,8.5
1826,17,8.5
1827,18,9
1828,18,9
1829,18,9
1830,24,12
1831,23,11.5
1832,23,11.5
1833,24,12
1834,24,12
1835,25,12.5
1836,29,14.5
1837,29,14.5
1838,30,15
1839,31,15.5
1840,33,16.5
1841,34,17
1842,36,18
1843,37,18.5
1844,39,19.5
1845,43,21.5
1846,43,21.5
1847,46,23
1848,47,23.5
1849,50,25
1850,54,27
1851,54,27
1852,57,28.5
1853,59,29.5
1854,69,34.5
1855,71,35.5
1856,76,38
1857,77,38.5
1858,78,39
1859,83,41.5
1860,91,45.5
1861,95,47.5
1862,97,48.5
1863,104,52
1864,112,56
1865,119,59.5
1866,122,61
1867,130,65
1868,135,67.5
1869,142,71
1870,147,73.5
1871,156,78
1872,173,86.5
1873,184,92
1874,174,87
1875,188,94
1876,191,95.5
1877,194,97
1878,196,98
1879,210,105
1880,236,118
1881,243,121.5
1882,256,128
1883,272,136
1884,275,137.5
1885,277,138.5
1886,281,140.5
1887,295,147.5
1888,327,163.5
1889,327,163.5
1890,356,178
1891,372,186
1892,374,187
1893,370,185
1894,383,191.5
1895,406,203
1896,419,209.5
1897,440,220
1898,465,232.5
1899,507,253.5
1900,534,267
1901,552,276
1902,566,283
1903,617,308.5
1904,624,312
1905,663,331.5
1906,707,353.5
1907,784,392
1908,750,375
1909,785,392.5
1910,819,409.5
1911,836,418
1912,879,439.5
1913,943,471.5
1914,850,425
1915,838,419
1916,901,450.5
1917,955,477.5
1918,936,468
1919,806,403
1920,932,466
1921,803,401.5
1922,845,422.5
1923,970,485
1924,963,481.5
1925,975,487.5
1926,983,491.5
1927,1062,531
1928,1065,532.5
1929,1145,572.5
1930,1053,526.5
1931,940,470
1932,847,423.5
1933,893,446.5
1934,973,486.5
1935,1027,513.5
1936,1130,565
1937,1209,604.5
1938,1142,571
1939,1192,596
1940,1299,649.5
1941,1334,667
1942,1342,671
1943,1391,695.5
1944,1383,691.5
1945,1160,580
1946,1238,619
1947,1392,696
1948,1469,734.5
1949,1419,709.5
1950,1630,815
1951,1767,883.5
1952,1795,897.5
1953,1841,920.5
1954,1865,932.5
1955,2043,1021.5
1956,2177,1088.5
1957,2270,1135
1958,2330,1165
1959,2454,1227
1960,2569,1284.5
1961,2580,1290
1962,2686,1343
1963,2833,1416.5
1964,2995,1497.5
1965,3130,1565
1966,3288,1644
1967,3393,1696.5
1968,3566,1783
1969,3780,1890
1970,4053,2026.5
1971,4208,2104
1972,4376,2188
1973,4614,2307
1974,4623,2311.5
1975,4595,2297.5
1976,4864,2432
1977,5016,2508
1978,5074,2537
1979,5357,2678.5
1980,5301,2650.5
1981,5138,2569
1982,5095,2547.5
1983,5076,2538
1984,5258,2629
1985,5417,2708.5
1986,5583,2791.5
1987,5725,2862.5
1988,5936,2968
1989,6066,3033
1990,6052,3026
1991,6120,3060
1992,6039,3019.5
1993,6091,3045.5
1994,6136,3068
1995,6271,3135.5
1996,6432,3216
1997,6500,3250
1998,6493,3246.5
1999,6639,3319.5
2000,6808,3404
2001,6859,3429.5
2002,7029,3514.5
2003,7420,3710
2004,7683,3841.5
2005,7992,3996
2006,8253,4126.5
2007,8464,4232
2008,8661,4330.5
2009,8538,4269
2010,9004,4502
2011,9291,4645.5
2012,9484,4742
2013,9569,4784.5
2014,9628,4814
2015,9639,4819.5
2016,9721,4860.5
2017,9851,4925.5
2018,10111,5055.5
2019,10175,5087.5
